DATE,CPIFABSL
1980-01-01,83.300
1980-02-01,83.400
1980-03-01,84.100
1980-04-01,84.600
1980-05-01,85.200
1980-06-01,85.700
1980-07-01,86.500
1980-08-01,87.900
1980-09-01,88.900
1980-10-01,89.600
1980-11-01,90.600
1980-12-01,91.200
1981-01-01,91.500
1981-02-01,92.000
1981-03-01,92.500
1981-04-01,92.600
1981-05-01,92.700
1981-06-01,93.100
1981-07-01,93.800
1981-08-01,94.300
1981-09-01,94.700
1981-10-01,94.800
1981-11-01,95.000
1981-12-01,95.200
1982-01-01,95.500
1982-02-01,96.200
1982-03-01,96.100
1982-04-01,96.300
1982-05-01,97.100
1982-06-01,98.000
1982-07-01,98.100
1982-08-01,97.900
1982-09-01,98.000
1982-10-01,98.100
1982-11-01,98.200
1982-12-01,98.100
1983-01-01,98.000
1983-02-01,98.200
1983-03-01,98.800
1983-04-01,99.200
1983-05-01,99.500
1983-06-01,99.600
1983-07-01,99.600
1983-08-01,99.600
1983-09-01,100.000
1983-10-01,100.300
1983-11-01,100.300
1983-12-01,100.600
1984-01-01,101.900
1984-02-01,102.500
1984-03-01,102.800
1984-04-01,102.800
1984-05-01,102.600
1984-06-01,103.000
1984-07-01,103.200
1984-08-01,103.800
1984-09-01,103.700
1984-10-01,103.900
1984-11-01,104.000
1984-12-01,104.400
1985-01-01,104.500
1985-02-01,105.000
1985-03-01,105.400
1985-04-01,105.300
1985-05-01,105.100
1985-06-01,105.400
1985-07-01,105.400
1985-08-01,105.500
1985-09-01,105.700
1985-10-01,105.900
1985-11-01,106.500
1985-12-01,107.300
1986-01-01,107.500
1986-02-01,107.400
1986-03-01,107.600
1986-04-01,107.800
1986-05-01,108.200
1986-06-01,108.300
1986-07-01,109.100
1986-08-01,110.000
1986-09-01,110.100
1986-10-01,110.400
1986-11-01,111.000
1986-12-01,111.300
1987-01-01,111.900
1987-02-01,112.200
1987-03-01,112.400
1987-04-01,112.600
1987-05-01,113.200
1987-06-01,113.800
1987-07-01,113.700
1987-08-01,113.900
1987-09-01,114.400
1987-10-01,114.600
1987-11-01,114.700
1987-12-01,115.200
1988-01-01,115.600
1988-02-01,115.700
1988-03-01,115.900
1988-04-01,116.500
1988-05-01,116.900
1988-06-01,117.600
1988-07-01,118.800
1988-08-01,119.400
1988-09-01,120.000
1988-10-01,120.300
1988-11-01,120.500
1988-12-01,121.000
1989-01-01,121.500
1989-02-01,122.300
1989-03-01,123.100
1989-04-01,123.700
1989-05-01,124.600
1989-06-01,124.900
1989-07-01,125.400
1989-08-01,125.700
1989-09-01,126.100
1989-10-01,126.700
1989-11-01,127.200
1989-12-01,127.700
1990-01-01,129.400
1990-02-01,130.500
1990-03-01,130.700
1990-04-01,130.600
1990-05-01,130.900
1990-06-01,131.800
1990-07-01,132.500
1990-08-01,132.900
1990-09-01,133.300
1990-10-01,133.800
1990-11-01,134.200
1990-12-01,134.300
1991-01-01,135.200
1991-02-01,135.700
1991-03-01,135.900
1991-04-01,136.600
1991-05-01,137.100
1991-06-01,137.800
1991-07-01,137.200
1991-08-01,136.800
1991-09-01,137.000
1991-10-01,136.900
1991-11-01,137.400
1991-12-01,137.600
1992-01-01,137.300
1992-02-01,137.800
1992-03-01,138.300
1992-04-01,138.200
